Quote,Author
"Miners are bitcoin's slaves, not masters.",Saifedean Ammous
Digital scarcity can only occur once.,Dennis Parker
Bullish on bitcoiners.,Matt Odell
"Fascism, socialism, or Bitcoin. Those are our choices.",Ansel Lindner
"The goal isn't to live forever, the goal is to help create something that will. #Bitcoin",Jack Mallers
Freedom is decentralized. Permission is centralized.,Jimmy Song
It isn’t obvious that the world had to work this way. But somehow the universe smiles on encryption.,Julian Assange
"Money, historically, has been a creature of the market, not a creature of the State. If anything, that is the perversion.",Murad Mahmudov
"Bitcoin: come for the profits, stay for the principles.",Quentin Lobb
"For the first time in human history, you can take all of your wealth and your life force. You can put it into an asset, you can keep the keys, you can take custody [...] No government, no bank, can take it away from you. There's nobody to tell you: 'you can't own your life force.'",Michael Saylor
Bitcoin is rat poison; it’s just the banks and credit card companies are the rats,Dan Morehead
"When the war arrives, you gotta choose sides.",Michael Saylor
"In Bitcoin, never attribute to stupidity that which is adequately explained by malice.",Christian Keroles
I think it’s essential for a program of this nature to be open source.,Satoshi Nakamoto
Stay humble. Stack sats.,Matt Odell
Bitcoin is not debt; Bitcoin is not equity. Bitcoin is Bitcoin.,Elisabeth Préfontaine
Governments can not stop this innovation.,Patrick McHenry
It might make sense just to get some in case it catches on.,Satoshi Nakamoto
The real oppression is easy fiat money.,Jimmy Song
The future is already here — it’s just not very evenly distributed.,William Gibson
Bitcoin breaks politics.,Robert Breedlove
You can't dictate how people should use bitcoin. Bitcoin has certain properties that enable different use cases. The predominant use case will fluctuate over time. Get over it.,Marty Bent
Bitcoin will unite a deeply divided country. (and eventually: world),Jack Dorsey
No one has found the bottom of the Bitcoin rabbit hole.,Jameson Lopp
Bitcoin’s limited supply attracts infinite demand. Forever.,Pierre Rochard
"Given that money is one half of every commercial transaction and that whole civilizations literally rise and fall based on the quality of their money, we are talking about an awesome power, one that flies under the cover of night.",Ron Paul
"First, there are no bitcoins. There just aren’t. They don’t exist. There are ledger entries in a ledger that’s shared […] They don’t exist in any physical location. The ledger exists in every physical location, essentially. Geography doesn’t make sense here.",Peter Van Valkenburgh
Software is eating the world and gold is on the menu.,Tyler Winklevoss
Bitcoin is money. Multicoinery is barter. ,Conner Brown
Privacy is necessary for an open society in the electronic age.,Eric Hughes
Bitcoin is a game we play where we can easily tell when someone is cheating.,Dhruv Bansal
Bitcoin is the most important political movement of our time.,Ryan Selkis
[Bitcoin is] pieces of super-gold flying inside an unstoppable PayPal.,Murad Mahmudov
"I do not think it is an exaggeration to say history is largely a history of inflation, and usually of inflations engineered by governments for the gain of governments.",Friedrich Hayek
There's Bitcoin and then there's shitcoin.,Warren Davidson
The Times 03/Jan/2009 Chancellor on brink of second bailout for banks.,Satoshi Nakamoto
"Time is interchangeable with volatility. Antifragile systems feed on volatility, which is why they persist over time. Bitcoin is antifragile money—it thrives amid adversity, stressors, and uncertainty; its voracious appetite for volatility ensures its success over time.",Robert Breedlove
Shitcoins are called shitcoins because they are shit compared to Bitcoin.,John Carvalho
"If thugs don't want you to have privacy, you really really should improve your privacy.",Max Hillebrand
Building a portfolio around shitcoins is just a shitfolio.,Saifedean Ammous
Bitcoin isn’t competing for resources. Resources are competing for Bitcoin.,Obi-Wan Kenobit
Decentralization via minimizing the cost to verify must be bitcoin's priority.,Brady
Only two things are genuinely scarce: time and bitcoin.,Saifedean Ammous
